id,source,name,description,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,neighborhood,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
36161058,city scrape,Serviced apartment in Den Haag · ★4.75 · Studio · 1 bed · 1 bath,,9165668,Robert,2013-10-01,"The Hague, Netherlands",96%,81%,f,80,,Wijk 07 Scheveningen,52.10948,4.28247,Entire serviced apartment,Entire home/apt,2,1,$130.00,3,1000,12,4.75
36189740,previous scrape,Rental unit in Den Haag · ★5.0 · 3 bedrooms · 4 beds · 2 baths,,8113368,Robert,2013-08-12,"The Hague, Netherlands",N/A,0%,f,1,,Wijk 07 Scheveningen,52.11049,4.28013,Entire rental unit,Entire home/apt,5,4,,2,1125,9,5.0
36229305,city scrape,Villa in Den Haag · ★5.0 · 4 bedrooms · 4 beds · 3 baths,,43015842,Rogier,2015-08-31,"The Hague, Netherlands",100%,0%,f,1,,Wijk 26 Bezuidenhout,52.0895,4.33859,Entire villa,Entire home/apt,5,4,$395.00,5,14,4,5.0
36252615,city scrape,Rental unit in Den Haag · ★4.93 · 1 bedroom · 1 bed · 1 bath,,272668082,Anna,2019-07-01,"The Hague, Netherlands",100%,91%,t,2,,Wijk 09 Geuzen- en Statenkwartier,52.09675,4.27179,Entire rental unit,Entire home/apt,2,1,$150.00,2,1125,121,4.93
36260980,city scrape,Rental unit in Den Haag · ★4.24 · 1 bedroom · 1 bed · 1 bath,,49695547,Roos,2015-11-23,,90%,98%,f,14,,Wijk 27 Stationsbuurt,52.07805,4.32643,Entire rental unit,Entire home/apt,4,1,$74.00,2,1125,49,4.24
36269414,previous scrape,Rental unit in Den Haag · ★5.0 · 4 bedrooms · 5 beds · 1.5 baths,,272779647,Michael En Madelon,2019-07-01,"The Hague, Netherlands",N/A,80%,f,1,,Wijk 20 Valkenboskwartier,52.07306,4.26898,Entire rental unit,Entire home/apt,6,5,,4,21,15,5.0
36349112,previous scrape,Home in Den Haag · ★4.78 · 4 bedrooms · 6 beds · 1.5 baths,,10590725,Jos,2013-12-12,"The Hague, Netherlands",N/A,57%,f,1,,Wijk 21 Regentessekwartier,52.07263,4.28639,Entire home,Entire home/apt,7,6,,3,1125,9,4.78
36375587,city scrape,Home in Den Haag · ★4.91 · 4 bedrooms · 5 beds · 3.5 baths,,18913645,Stephanie,2014-07-26,"The Hague, Netherlands",100%,50%,f,1,,Wijk 05 Archipelbuurt,52.09142,4.30368,Entire home,Entire home/apt,6,5,$216.00,7,21,11,4.91
36516498,city scrape,Home in Den Haag · ★5.0 · 4 bedrooms · 5 beds · 2.5 baths,,5104506,Mascha,2013-02-16,"The Hague, Netherlands",50%,0%,f,1,,Wijk 22 Zeeheldenkwartier,52.08335,4.29692,Entire home,Entire home/apt,6,5,$250.00,5,1125,7,5.0
36581481,city scrape,Rental unit in Den Haag · ★4.94 · 4 bedrooms · 4 beds · 1.5 baths,,27115630,Kathi,2015-02-02,"The Hague, Netherlands",100%,47%,f,1,,Wijk 21 Regentessekwartier,52.07686,4.28392,Entire rental unit,Entire home/apt,8,4,$293.00,3,1125,17,4.94
36666392,previous scrape,Townhouse in Den Haag · ★4.47 · 4 bedrooms · 5 beds · 1.5 baths,,273568444,Sterre,2019-07-04,"The Hague, Netherlands",20%,21%,f,2,,Wijk 02 Belgisch Park,52.1109877,4.2919206,Entire townhouse,Entire home/apt,6,5,$295.00,1,10,17,4.47
36724148,city scrape,Townhouse in Den Haag · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,,2817394,Ian,2012-07-03,"The Hague, Netherlands",100%,100%,t,2,,Wijk 22 Zeeheldenkwartier,52.07928,4.29204,Private room in townhouse,Private room,2,1,$50.00,1,1125,194,4.88
36747601,city scrape,Rental unit in Den Haag · ★5.0 · 1 bedroom · 1 bed · 1 bath,,62284942,Trudy,2016-03-09,"The Hague, Netherlands",100%,0%,f,2,,Wijk 12 Bomen- en Bloemenbuurt,52.07771,4.27384,Entire rental unit,Entire home/apt,2,1,$129.00,2,12,12,5.0
36760385,city scrape,Serviced apartment in The Hague · ★4.69 · Studio · 2 beds · 1 bath,,9165668,Robert,2013-10-01,"The Hague, Netherlands",96%,81%,f,80,,Wijk 07 Scheveningen,52.111,4.28438,Entire serviced apartment,Entire home/apt,2,2,$134.00,4,1125,13,4.69
